feedback_text,feedback_timestamp,menu_item,meal_time
Portion size was perfect and taste was nice.,2024-08-11T00:00:00,Dosa,Dinner
"Taste was average, nothing special.",2024-10-31T00:00:00,Uggani,Breakfast
Good quality and well cooked.,2024-12-22T00:00:00,Dosa,Dinner
The meal was light and refreshing.,2024-04-30T00:00:00,Pongal,Dinner
The meal was light and refreshing.,2026-01-25T00:00:00,Veg Biryani,Lunch
"Really enjoyed the meal, it was delicious.",2025-09-22T00:00:00,Gulab Jamun,Dinner
The meal was light and refreshing.,2024-07-30T00:00:00,Curd Rice,Lunch
Portion size was perfect and taste was nice.,2024-10-14T00:00:00,Dosa,Snacks
Good quality and well cooked.,2025-12-21T00:00:00,Mutton Curry,Lunch
Decent meal overall.,2024-09-30T00:00:00,Paneer Curry,Snacks
"Really enjoyed the meal, it was delicious.",2026-02-07T00:00:00,Fish Curry,Breakfast
Good quality and well cooked.,2025-11-02T00:00:00,Uggani,Breakfast
"Taste was average, nothing special.",2024-05-29T00:00:00,Curd Rice,Lunch
"Neither good nor bad, just normal.",2025-05-16T00:00:00,Samosa,Lunch
"Amazing flavors, I loved the taste.",2025-02-28T00:00:00,Curd Rice,Snacks
The food tasted great today.,2025-10-10T00:00:00,Ice Cream,Dinner
Portion size was perfect and taste was nice.,2026-02-06T00:00:00,Pongal,Dinner
"Neither good nor bad, just normal.",2025-05-14T00:00:00,Roti,Snacks
The meal was light and refreshing.,2026-01-20T00:00:00,Samosa,Breakfast
"It was fine, could be better.",2024-03-05T00:00:00,Pongal,Dinner
"Really enjoyed the meal, it was delicious.",2025-03-15T00:00:00,Mutton Curry,Dinner
"It was fine, could be better.",2024-11-26T00:00:00,Chicken Biryani,Dinner
Portion size was perfect and taste was nice.,2025-08-14T00:00:00,Paneer Curry,Snacks
The meal was light and refreshing.,2024-12-17T00:00:00,Curd Rice,Dinner
The meal was okay.,2025-10-03T00:00:00,Dosa,Breakfast
The food tasted great today.,2024-06-10T00:00:00,Bonda,Breakfast
The food was served too cold.,2025-03-14T00:00:00,Bonda,Dinner
"Amazing flavors, I loved the taste.",2024-11-05T00:00:00,Chicken Biryani,Lunch
The food tasted great today.,2025-11-01T00:00:00,Veg Curry,Snacks
The food tasted great today.,2025-01-15T00:00:00,Gulab Jamun,Snacks
"Neither good nor bad, just normal.",2025-10-02T00:00:00,Veg Curry,Breakfast
"Neither good nor bad, just normal.",2025-11-02T00:00:00,Paneer Curry,Lunch
The food tasted great today.,2024-08-06T00:00:00,Pongal,Breakfast
"Really enjoyed the meal, it was delicious.",2025-08-30T00:00:00,Vada,Breakfast
The food tasted great today.,2024-01-09T00:00:00,Veg Biryani,Dinner
The meal was light and refreshing.,2025-03-08T00:00:00,Samosa,Breakfast
The food tasted great today.,2024-08-22T00:00:00,Curd Rice,Dinner
The meal was okay.,2024-04-15T00:00:00,Ice Cream,Breakfast
Good quality and well cooked.,2024-05-20T00:00:00,Samosa,Snacks
"Taste was average, nothing special.",2024-03-11T00:00:00,Ice Cream,Lunch
Decent meal overall.,2025-10-27T00:00:00,Fish Curry,Breakfast
Good quality and well cooked.,2026-01-09T00:00:00,Veg Curry,Dinner
"Neither good nor bad, just normal.",2025-09-22T00:00:00,Chicken Biryani,Lunch
The food tasted great today.,2024-04-12T00:00:00,Bonda,Lunch
Portion size was perfect and taste was nice.,2026-01-17T00:00:00,Curd Rice,Breakfast
"Fresh and tasty, good job by the kitchen.",2024-11-18T00:00:00,Ice Cream,Snacks
Good quality and well cooked.,2025-10-22T00:00:00,Curd Rice,Lunch
Decent meal overall.,2025-09-07T00:00:00,Pongal,Lunch
The meal was light and refreshing.,2025-11-05T00:00:00,Paneer Curry,Breakfast
Decent meal overall.,2025-09-13T00:00:00,Paneer Curry,Lunch
"Amazing flavors, I loved the taste.",2025-02-05T00:00:00,Fish Curry,Lunch
The meal was light and refreshing.,2024-09-02T00:00:00,Paneer Curry,Breakfast
The food tasted great today.,2024-09-03T00:00:00,Vada,Dinner
The roti was too hard.,2024-01-13T00:00:00,Vada,Breakfast
"Really enjoyed the meal, it was delicious.",2025-01-31T00:00:00,Gulab Jamun,Snacks
Portion size was perfect and taste was nice.,2025-11-30T00:00:00,Uggani,Snacks
The meal was okay.,2024-01-18T00:00:00,Veg Curry,Dinner
Good quality and well cooked.,2024-08-08T00:00:00,Pongal,Breakfast
"Neither good nor bad, just normal.",2025-06-02T00:00:00,Dosa,Breakfast
"Neither good nor bad, just normal.",2025-12-19T00:00:00,Paneer Curry,Dinner
Decent meal overall.,2025-07-04T00:00:00,Ice Cream,Breakfast
The food tasted great today.,2024-11-13T00:00:00,Curd Rice,Snacks
The meal was light and refreshing.,2024-06-08T00:00:00,Pongal,Lunch
"Fresh and tasty, good job by the kitchen.",2025-08-23T00:00:00,Mutton Curry,Snacks
"Neither good nor bad, just normal.",2026-01-17T00:00:00,Pongal,Snacks
"Really enjoyed the meal, it was delicious.",2024-03-29T00:00:00,Veg Biryani,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-09-18T00:00:00,Uggani,Breakfast
"Amazing flavors, I loved the taste.",2026-01-29T00:00:00,Dosa,Snacks
The meal was okay.,2025-12-25T00:00:00,Veg Curry,Breakfast
"Really enjoyed the meal, it was delicious.",2025-05-23T00:00:00,Curd Rice,Breakfast
"Really enjoyed the meal, it was delicious.",2025-01-15T00:00:00,Gulab Jamun,Snacks
"Amazing flavors, I loved the taste.",2024-04-30T00:00:00,Curd Rice,Snacks
The side dish mentioned in the menu was missing.,2025-03-15T00:00:00,Idli,Snacks
The food tasted strange today.,2025-12-30T00:00:00,Roti,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-06-07T00:00:00,Pongal,Dinner
"Fresh and tasty, good job by the kitchen.",2025-08-03T00:00:00,Gulab Jamun,Breakfast
"Really enjoyed the meal, it was delicious.",2024-09-18T00:00:00,Veg Curry,Snacks
"Taste was average, nothing special.",2026-01-28T00:00:00,Sambar Rice,Breakfast
The meal was okay.,2024-01-13T00:00:00,Fish Curry,Breakfast
"Neither good nor bad, just normal.",2025-01-07T00:00:00,Veg Biryani,Breakfast
"Really enjoyed the meal, it was delicious.",2024-02-06T00:00:00,Ice Cream,Lunch
"Really enjoyed the meal, it was delicious.",2024-11-25T00:00:00,Mutton Curry,Dinner
"It was fine, could be better.",2024-10-04T00:00:00,Veg Biryani,Dinner
The meal was okay.,2025-05-29T00:00:00,Pongal,Snacks
"Really enjoyed the meal, it was delicious.",2025-06-12T00:00:00,Dosa,Lunch
The food tasted great today.,2025-04-21T00:00:00,Dosa,Dinner
Good quality and well cooked.,2024-03-29T00:00:00,Paneer Curry,Snacks
The food tasted great today.,2025-01-12T00:00:00,Mutton Curry,Dinner
Portion size was perfect and taste was nice.,2024-11-07T00:00:00,Chicken Biryani,Snacks
Good quality and well cooked.,2025-08-28T00:00:00,Veg Biryani,Dinner
"Amazing flavors, I loved the taste.",2025-07-13T00:00:00,Vada,Lunch
The meal was okay.,2025-02-23T00:00:00,Veg Biryani,Lunch
Portion size was perfect and taste was nice.,2024-12-20T00:00:00,Idli,Lunch
The food tasted great today.,2026-02-16T00:00:00,Idli,Snacks
The meal was okay.,2024-07-29T00:00:00,Ice Cream,Snacks
"Neither good nor bad, just normal.",2025-05-18T00:00:00,Fish Curry,Lunch
"It was fine, could be better.",2024-04-05T00:00:00,Dosa,Lunch
The food was served very late.,2025-06-16T00:00:00,Dosa,Lunch
"Fresh and tasty, good job by the kitchen.",2026-02-04T00:00:00,Uggani,Snacks
Portion size was perfect and taste was nice.,2024-05-16T00:00:00,Pongal,Breakfast
The taste felt stale.,2025-08-04T00:00:00,Ice Cream,Breakfast
"Amazing flavors, I loved the taste.",2024-05-13T00:00:00,Dosa,Dinner
Good quality and well cooked.,2024-11-18T00:00:00,Veg Biryani,Snacks
Good quality and well cooked.,2025-04-08T00:00:00,Ice Cream,Snacks
The food tasted great today.,2024-07-26T00:00:00,Roti,Lunch
"Really enjoyed the meal, it was delicious.",2024-04-18T00:00:00,Curd Rice,Breakfast
"Fresh and tasty, good job by the kitchen.",2024-11-17T00:00:00,Veg Curry,Dinner
Portion size was perfect and taste was nice.,2025-01-01T00:00:00,Uggani,Breakfast
Good quality and well cooked.,2025-04-19T00:00:00,Chicken Biryani,Dinner
The food tasted great today.,2024-06-10T00:00:00,Roti,Breakfast
"Really enjoyed the meal, it was delicious.",2024-12-01T00:00:00,Paneer Curry,Breakfast
"Amazing flavors, I loved the taste.",2024-09-11T00:00:00,Curd Rice,Breakfast
Decent meal overall.,2024-02-20T00:00:00,Gulab Jamun,Dinner
"Taste was average, nothing special.",2024-02-01T00:00:00,Paneer Curry,Snacks
Decent meal overall.,2026-02-05T00:00:00,Ice Cream,Dinner
The meal was okay.,2025-04-18T00:00:00,Mutton Curry,Lunch
The meal was okay.,2024-01-13T00:00:00,Sambar Rice,Lunch
"Really enjoyed the meal, it was delicious.",2024-07-21T00:00:00,Dosa,Lunch
The meal was okay.,2025-08-19T00:00:00,Ice Cream,Snacks
The food tasted great today.,2024-03-07T00:00:00,Roti,Breakfast
"Taste was average, nothing special.",2024-04-04T00:00:00,Chicken Biryani,Dinner
The meal was cold and unpleasant.,2025-04-17T00:00:00,Samosa,Breakfast
Portion size was perfect and taste was nice.,2025-03-19T00:00:00,Dosa,Lunch
The meal was okay.,2025-01-26T00:00:00,Ice Cream,Dinner
"It was fine, could be better.",2024-08-07T00:00:00,Uggani,Lunch
Good quality and well cooked.,2025-04-01T00:00:00,Veg Curry,Snacks
Portion size was perfect and taste was nice.,2025-09-26T00:00:00,Curd Rice,Breakfast
"Neither good nor bad, just normal.",2025-02-25T00:00:00,Veg Biryani,Snacks
The food tasted great today.,2024-03-30T00:00:00,Mutton Curry,Dinner
"Taste was average, nothing special.",2025-03-05T00:00:00,Roti,Dinner
"Amazing flavors, I loved the taste.",2025-07-10T00:00:00,Chicken Biryani,Lunch
"It was fine, could be better.",2025-05-06T00:00:00,Idli,Dinner
Good quality and well cooked.,2025-08-02T00:00:00,Mutton Curry,Dinner
"Fresh and tasty, good job by the kitchen.",2024-10-03T00:00:00,Fish Curry,Snacks
Good quality and well cooked.,2025-09-03T00:00:00,Veg Curry,Breakfast
The food was served very late.,2024-10-14T00:00:00,Veg Biryani,Breakfast
Decent meal overall.,2025-01-01T00:00:00,Dosa,Dinner
The meal was okay.,2024-09-10T00:00:00,Veg Biryani,Lunch
Portion size was perfect and taste was nice.,2026-01-24T00:00:00,Veg Biryani,Snacks
Decent meal overall.,2025-02-01T00:00:00,Dosa,Lunch
"Really enjoyed the meal, it was delicious.",2024-08-30T00:00:00,Gulab Jamun,Lunch
Portion size was perfect and taste was nice.,2024-01-29T00:00:00,Samosa,Snacks
Portion size was perfect and taste was nice.,2024-07-11T00:00:00,Gulab Jamun,Lunch
The meal was not salty enough.,2025-05-17T00:00:00,Vada,Snacks
The food tasted great today.,2024-08-26T00:00:00,Dosa,Breakfast
Portion size was perfect and taste was nice.,2025-05-04T00:00:00,Veg Biryani,Breakfast
Portion size was perfect and taste was nice.,2024-07-25T00:00:00,Idli,Snacks
"Taste was average, nothing special.",2024-11-27T00:00:00,Curd Rice,Snacks
"Really enjoyed the meal, it was delicious.",2025-08-23T00:00:00,Dosa,Breakfast
The meal was light and refreshing.,2025-06-22T00:00:00,Curd Rice,Breakfast
Good quality and well cooked.,2025-12-22T00:00:00,Gulab Jamun,Breakfast
Good quality and well cooked.,2024-11-05T00:00:00,Ice Cream,Breakfast
"Really enjoyed the meal, it was delicious.",2026-01-19T00:00:00,Samosa,Lunch
The quality was inconsistent this week.,2024-11-20T00:00:00,Uggani,Dinner
"Really enjoyed the meal, it was delicious.",2025-11-12T00:00:00,Veg Curry,Snacks
Good quality and well cooked.,2026-01-21T00:00:00,Veg Curry,Dinner
"Really enjoyed the meal, it was delicious.",2026-01-16T00:00:00,Paneer Curry,Lunch
The meal was light and refreshing.,2025-08-04T00:00:00,Idli,Dinner
Decent meal overall.,2024-11-21T00:00:00,Dosa,Lunch
The texture of the dish was not good.,2024-05-24T00:00:00,Veg Biryani,Breakfast
"Really enjoyed the meal, it was delicious.",2024-12-21T00:00:00,Samosa,Breakfast
"Amazing flavors, I loved the taste.",2024-03-31T00:00:00,Samosa,Lunch
The food tasted great today.,2024-09-28T00:00:00,Samosa,Dinner
"Amazing flavors, I loved the taste.",2024-03-10T00:00:00,Chicken Biryani,Lunch
The meal was okay.,2026-01-07T00:00:00,Gulab Jamun,Snacks
"Fresh and tasty, good job by the kitchen.",2025-03-24T00:00:00,Idli,Breakfast
The food was served very late.,2025-02-27T00:00:00,Uggani,Lunch
"It was fine, could be better.",2025-07-13T00:00:00,Vada,Dinner
"Neither good nor bad, just normal.",2025-08-14T00:00:00,Ice Cream,Breakfast
"Neither good nor bad, just normal.",2024-03-16T00:00:00,Veg Biryani,Lunch
The food tasted great today.,2024-11-22T00:00:00,Dosa,Snacks
The meal was okay.,2024-12-16T00:00:00,Roti,Breakfast
The meal was not salty enough.,2026-01-19T00:00:00,Veg Curry,Dinner
Good quality and well cooked.,2025-08-31T00:00:00,Pongal,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-10-31T00:00:00,Vada,Breakfast
"Really enjoyed the meal, it was delicious.",2024-02-24T00:00:00,Veg Curry,Dinner
"Taste was average, nothing special.",2024-07-13T00:00:00,Sambar Rice,Snacks
"It was fine, could be better.",2024-10-31T00:00:00,Uggani,Snacks
The meal was okay.,2025-02-06T00:00:00,Veg Biryani,Breakfast
"Taste was average, nothing special.",2024-02-25T00:00:00,Mutton Curry,Dinner
"Neither good nor bad, just normal.",2024-03-30T00:00:00,Gulab Jamun,Breakfast
"Really enjoyed the meal, it was delicious.",2024-04-09T00:00:00,Paneer Curry,Dinner
"Really enjoyed the meal, it was delicious.",2025-10-15T00:00:00,Idli,Lunch
"Neither good nor bad, just normal.",2024-04-28T00:00:00,Paneer Curry,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-05-15T00:00:00,Paneer Curry,Dinner
Decent meal overall.,2025-01-31T00:00:00,Roti,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-01-13T00:00:00,Veg Curry,Snacks
The meal was okay.,2024-09-26T00:00:00,Veg Curry,Dinner
"It was fine, could be better.",2024-08-19T00:00:00,Bonda,Dinner
"Really enjoyed the meal, it was delicious.",2026-02-09T00:00:00,Roti,Breakfast
"Amazing flavors, I loved the taste.",2024-12-18T00:00:00,Sambar Rice,Breakfast
The meal was light and refreshing.,2025-08-26T00:00:00,Mutton Curry,Dinner
The meal was light and refreshing.,2025-01-31T00:00:00,Veg Biryani,Breakfast
Portion size was perfect and taste was nice.,2025-12-04T00:00:00,Fish Curry,Dinner
"Fresh and tasty, good job by the kitchen.",2024-11-02T00:00:00,Vada,Lunch
The meal was light and refreshing.,2026-01-01T00:00:00,Pongal,Dinner
The food tasted great today.,2026-02-14T00:00:00,Dosa,Lunch
"Taste was average, nothing special.",2024-08-04T00:00:00,Bonda,Lunch
The food tasted great today.,2025-03-09T00:00:00,Chicken Biryani,Lunch
"Really enjoyed the meal, it was delicious.",2025-10-04T00:00:00,Pongal,Dinner
Good quality and well cooked.,2026-01-14T00:00:00,Curd Rice,Snacks
"Fresh and tasty, good job by the kitchen.",2025-07-23T00:00:00,Pongal,Breakfast
"It was fine, could be better.",2025-06-16T00:00:00,Ice Cream,Snacks
The meal was light and refreshing.,2025-12-18T00:00:00,Bonda,Breakfast
The meal was okay.,2025-02-28T00:00:00,Fish Curry,Dinner
Portion size was perfect and taste was nice.,2025-08-25T00:00:00,Curd Rice,Lunch
Portion size was perfect and taste was nice.,2024-04-13T00:00:00,Sambar Rice,Breakfast
"Fresh and tasty, good job by the kitchen.",2024-09-27T00:00:00,Paneer Curry,Snacks
Portion size was perfect and taste was nice.,2025-09-15T00:00:00,Ice Cream,Dinner
"Really enjoyed the meal, it was delicious.",2024-10-09T00:00:00,Vada,Breakfast
Portion size was perfect and taste was nice.,2025-09-15T00:00:00,Ice Cream,Lunch
"Fresh and tasty, good job by the kitchen.",2024-12-05T00:00:00,Ice Cream,Breakfast
"Amazing flavors, I loved the taste.",2025-05-01T00:00:00,Veg Biryani,Breakfast
The food tasted great today.,2024-12-11T00:00:00,Roti,Snacks
"It was fine, could be better.",2025-05-18T00:00:00,Paneer Curry,Snacks
"Taste was average, nothing special.",2024-11-03T00:00:00,Sambar Rice,Lunch
"It was fine, could be better.",2026-01-16T00:00:00,Bonda,Snacks
"Taste was average, nothing special.",2025-03-28T00:00:00,Uggani,Breakfast
The serving was not sufficient.,2025-05-11T00:00:00,Chicken Biryani,Dinner
The meal was okay.,2025-06-11T00:00:00,Fish Curry,Snacks
Good quality and well cooked.,2025-12-27T00:00:00,Veg Curry,Breakfast
"Really enjoyed the meal, it was delicious.",2025-06-20T00:00:00,Fish Curry,Dinner
"Really enjoyed the meal, it was delicious.",2024-07-24T00:00:00,Idli,Lunch
The food tasted great today.,2025-04-12T00:00:00,Dosa,Lunch
"Amazing flavors, I loved the taste.",2024-07-22T00:00:00,Dosa,Snacks
"Neither good nor bad, just normal.",2025-06-01T00:00:00,Roti,Snacks
"Amazing flavors, I loved the taste.",2024-02-01T00:00:00,Ice Cream,Breakfast
"Neither good nor bad, just normal.",2025-08-31T00:00:00,Veg Biryani,Snacks
The meal was light and refreshing.,2025-04-30T00:00:00,Bonda,Lunch
"It was fine, could be better.",2024-06-16T00:00:00,Mutton Curry,Snacks
Good quality and well cooked.,2024-01-29T00:00:00,Roti,Breakfast
"Really enjoyed the meal, it was delicious.",2025-08-08T00:00:00,Ice Cream,Breakfast
"Amazing flavors, I loved the taste.",2024-08-18T00:00:00,Chicken Biryani,Lunch
"Neither good nor bad, just normal.",2025-06-09T00:00:00,Chicken Biryani,Snacks
"Neither good nor bad, just normal.",2024-05-15T00:00:00,Idli,Breakfast
"Really enjoyed the meal, it was delicious.",2024-09-15T00:00:00,Veg Curry,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-01-20T00:00:00,Paneer Curry,Snacks
Good quality and well cooked.,2024-08-11T00:00:00,Gulab Jamun,Dinner
"Amazing flavors, I loved the taste.",2025-06-17T00:00:00,Bonda,Snacks
The food tasted great today.,2025-06-07T00:00:00,Ice Cream,Breakfast
Good quality and well cooked.,2025-12-01T00:00:00,Gulab Jamun,Snacks
The food tasted great today.,2024-12-10T00:00:00,Sambar Rice,Dinner
The meal was light and refreshing.,2024-10-10T00:00:00,Roti,Snacks
"Really enjoyed the meal, it was delicious.",2024-06-02T00:00:00,Roti,Snacks
The food tasted great today.,2025-09-06T00:00:00,Fish Curry,Lunch
"Amazing flavors, I loved the taste.",2024-05-23T00:00:00,Ice Cream,Snacks
"It was fine, could be better.",2024-09-22T00:00:00,Idli,Dinner
"Fresh and tasty, good job by the kitchen.",2026-01-24T00:00:00,Uggani,Dinner
"It was fine, could be better.",2026-01-13T00:00:00,Dosa,Lunch
"It was fine, could be better.",2025-06-03T00:00:00,Veg Biryani,Dinner
Decent meal overall.,2024-07-04T00:00:00,Paneer Curry,Lunch
"Fresh and tasty, good job by the kitchen.",2024-05-11T00:00:00,Paneer Curry,Breakfast
"It was fine, could be better.",2025-11-01T00:00:00,Roti,Lunch
The food felt heavy and greasy.,2024-08-16T00:00:00,Pongal,Lunch
The meal was light and refreshing.,2024-12-05T00:00:00,Paneer Curry,Dinner
Portion size was perfect and taste was nice.,2024-10-28T00:00:00,Gulab Jamun,Snacks
"Neither good nor bad, just normal.",2024-02-24T00:00:00,Bonda,Breakfast
The food was served very late.,2024-07-18T00:00:00,Pongal,Dinner
The meal was light and refreshing.,2025-11-28T00:00:00,Fish Curry,Breakfast
"Fresh and tasty, good job by the kitchen.",2024-02-25T00:00:00,Ice Cream,Snacks
"Really enjoyed the meal, it was delicious.",2024-12-16T00:00:00,Curd Rice,Lunch
"Really enjoyed the meal, it was delicious.",2024-11-19T00:00:00,Uggani,Dinner
"Fresh and tasty, good job by the kitchen.",2024-12-06T00:00:00,Veg Curry,Breakfast
"Amazing flavors, I loved the taste.",2024-02-29T00:00:00,Veg Curry,Snacks
Good quality and well cooked.,2024-08-02T00:00:00,Idli,Dinner
"Fresh and tasty, good job by the kitchen.",2026-02-20T00:00:00,Veg Curry,Lunch
Decent meal overall.,2025-03-20T00:00:00,Pongal,Lunch
"Neither good nor bad, just normal.",2025-05-03T00:00:00,Uggani,Dinner
The food tasted great today.,2025-06-30T00:00:00,Ice Cream,Breakfast
The food tasted great today.,2024-11-25T00:00:00,Chicken Biryani,Snacks
The food tasted great today.,2025-11-23T00:00:00,Fish Curry,Lunch
"Really enjoyed the meal, it was delicious.",2025-12-11T00:00:00,Idli,Lunch
"Taste was average, nothing special.",2024-04-15T00:00:00,Gulab Jamun,Snacks
"Really enjoyed the meal, it was delicious.",2024-03-07T00:00:00,Ice Cream,Snacks
Good quality and well cooked.,2025-04-11T00:00:00,Dosa,Snacks
"Fresh and tasty, good job by the kitchen.",2025-12-04T00:00:00,Fish Curry,Snacks
"Neither good nor bad, just normal.",2025-01-02T00:00:00,Curd Rice,Snacks
"Neither good nor bad, just normal.",2024-01-20T00:00:00,Chicken Biryani,Lunch
"Amazing flavors, I loved the taste.",2024-05-14T00:00:00,Veg Biryani,Lunch
Decent meal overall.,2025-05-31T00:00:00,Chicken Biryani,Breakfast
Good quality and well cooked.,2025-12-29T00:00:00,Veg Curry,Breakfast
"Amazing flavors, I loved the taste.",2024-09-18T00:00:00,Dosa,Dinner
Portion size was perfect and taste was nice.,2024-02-19T00:00:00,Mutton Curry,Breakfast
The food tasted great today.,2025-12-07T00:00:00,Sambar Rice,Breakfast
